distancia_cm
4.030
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.013
3.602
4.013
3.602
3.602
4.030
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
3.602
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.030
4.013
4.030
4.030
4.030
4.030
4.013
4.013
4.013
4.030
4.013
4.013
4.030
4.013
4.013
4.013
4.030
4.013
4.030
4.013
4.013
3.602
4.013
4.030
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.030
4.013
3.602
4.013
4.013
4.030
4.013
4.030
4.013
4.030
4.013
4.013
4.030
4.013
4.013
4.030
3.602
4.013
4.013
3.602
4.013
4.013
4.013
4.013
4.030
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.030
4.030
4.030
4.030
4.013
4.013
4.013
4.030
4.030
4.013
4.013
4.013
4.013
4.030
4.013
4.030
4.030
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.030
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.030
4.013
4.030
4.030
4.030
4.013
4.013
4.013
3.602
3.602
4.030
4.013
4.030
4.013
4.013
4.030
4.013
4.030
4.013
4.013
4.013
4.030
4.030
4.013
4.013
4.013
4.013
3.602
4.013
4.013
4.013
4.030
4.013
4.013
4.030
4.030
4.013
4.030
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.030
4.030
4.013
4.013
4.030
4.013
4.030
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.030
4.013
4.013
4.013
4.030
4.013
4.082
4.013
4.013
4.030
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.030
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.030
4.013
4.030
4.013
4.013
4.030
4.013
4.030
4.030
4.013
4.013
4.030
4.013
4.030
4.013
4.030
4.013
4.082
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.030
4.013
4.030
4.030
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.030
4.013
4.030
4.030
4.030
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.030
4.030
4.030
4.013
4.013
4.013
4.030
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.030
4.030
4.013
4.030
4.030
4.013
4.030
4.030
4.013
4.013
4.030
4.013
4.030
4.013
4.013
3.602
4.013
4.030
4.030
4.013
4.030
4.013
4.013
4.013
3.602
4.013
3.602
4.030
4.013
4.013
4.013
4.013
4.013
4.030
4.030
4.030
4.013
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
3.602
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.030
4.013
4.013
3.602
4.030
4.013
3.602
4.030
4.030
4.013
4.013
4.013
3.602
4.013
4.030
4.030
4.013
4.030
4.013
4.030
4.013
3.602
4.030
4.013
4.030
4.013
4.013
4.030
4.013
3.602
3.602
4.013
4.030
4.030
4.013
4.013
4.013
4.013
4.013
3.602
3.602
4.013
4.013
3.602
4.013
4.030
4.013
4.030
4.013
4.030
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
4.013
